fips,county_fips,life_expectancy,fast_food_density,food_desert_pct,adult_obesity_pct,diabetes_prevalence_pct,uninsured_pct,median_family_income
01001020100,01001,73.1,0.801496148,99.19,39.4,13.3,9.7,81250.0
01001020200,01001,76.9,0.801496148,58.11,44.7,15.8,10.6,49000.0
01001020400,01001,75.4,0.801496148,31.09,36.9,12.8,7.9,70607.0
01001020500,01001,79.4,0.801496148,24.55,,,,96334.0
01001020600,01001,73.1,0.801496148,93.72,40.7,13.5,10.3,69521.0
01001020801,01001,78.3,0.801496148,100.0,38.4,12.8,7.4,89423.0
01001020802,01001,76.9,0.801496148,89.51,,,,84833.0
01001020900,01001,73.9,0.801496148,95.23,,,,77865.0
01001021000,01001,74.0,0.801496148,100.0,43.7,16.4,11.2,60900.0
01001021100,01001,72.2,0.801496148,100.0,49.1,22.0,12.2,49833.0
01003010100,01003,75.2,0.750151575,100.0,40.1,17.5,10.6,56464.0
01003010200,01003,72.9,0.750151575,100.0,36.3,13.1,8.9,44954.0
01003010300,01003,75.0,0.750151575,95.37,37.3,14.5,8.9,81799.0
01003010400,01003,76.0,0.750151575,99.47,38.6,15.6,11.8,58359.0
01003010500,01003,78.0,0.750151575,38.91,37.2,14.4,10.4,69951.0
01003010600,01003,71.8,0.750151575,48.62,51.2,23.7,15.7,50536.0
01003010701,01003,79.6,0.750151575,45.01,,,,112717.0
01003010703,01003,80.1,0.750151575,77.33,,,,102153.0
01003010704,01003,81.0,0.750151575,95.95,32.5,10.4,6.2,80678.0
01003010705,01003,77.7,0.750151575,41.78,,,,76343.0
01003010800,01003,80.5,0.750151575,36.27,33.7,12.8,7.1,92714.0
01003010903,01003,76.9,0.750151575,76.19,38.9,13.2,10.1,63116.0
01003010904,01003,75.8,0.750151575,93.41,35.9,13.2,9.0,65515.0
01003010905,01003,78.9,0.750151575,71.15,,,,58296.0
01003010906,01003,74.8,0.750151575,72.02,39.4,15.8,13.0,51630.0
01003011000,01003,72.1,0.750151575,97.74,38.8,16.0,12.8,48244.0
01003011101,01003,80.0,0.750151575,37.32,,,,89861.0
01003011102,01003,78.2,0.750151575,100.0,33.6,11.5,7.0,77321.0
01003011201,01003,78.6,0.750151575,9.33,31.6,13.4,6.1,83102.0
01003011202,01003,80.4,0.750151575,33.92,33.0,13.7,6.3,79063.0
01003011300,01003,82.1,0.750151575,100.0,33.2,13.4,6.5,95863.0
01003011401,01003,78.7,0.750151575,100.0,,,,64722.0
01003011403,01003,78.3,0.750151575,78.83,,,,61375.0
01003011405,01003,77.8,0.750151575,94.7,,,,105806.0
01003011406,01003,78.7,0.750151575,66.72,,,,76136.0
01003011407,01003,79.1,0.750151575,55.75,,,,70230.0
01003011501,01003,78.5,0.750151575,99.69,35.9,15.2,9.5,58843.0
01003011502,01003,75.7,0.750151575,53.87,,,,57120.0
01003011601,01003,74.6,0.750151575,100.0,37.1,14.7,9.6,64688.0
01005950100,01005,75.7,0.976046205,92.22,46.2,21.0,13.2,63398.0
01005950200,01005,72.2,0.976046205,89.01,48.3,18.6,14.9,47833.0
01005950300,01005,75.2,0.976046205,100.0,47.7,23.3,11.6,42736.0
01005950400,01005,76.9,0.976046205,100.0,49.0,19.8,19.1,36164.0
01005950600,01005,71.2,0.976046205,66.15,47.6,19.4,13.2,31083.0
01005950700,01005,73.1,0.976046205,22.54,45.5,20.9,11.3,35625.0
01005950900,01005,73.5,0.976046205,10.32,50.7,21.4,15.7,36091.0
01007010001,01007,70.9,0.316226959,100.0,43.8,16.6,11.7,61897.0
01007010002,01007,74.4,0.316226959,92.02,,,,62143.0
01007010003,01007,75.1,0.316226959,98.97,,,,75625.0
